|note|tags|spanish_verb|inf_verb|person|sing_or_plural|mood|tense|pos_neg_cmd|cast_note|conj_verb|code|region|verb_type|gender|haver_verb|anar_verb|note1|note2|cat_note|tense_tag|mood_tag|ending_tag|pronoun_tag|cat_tags
784|⊙ Ara mateix, ⊙nosaltres {{c1::ponemos::…poner…}} (diners en la mesa)| ends_in_er extreme_irregularity irregular_verb nosotros poner presente regular_form |poner|posar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::ponemos::…poner…}} (dinero en la mesa)|posem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (diners en la mesa)|⊙ Ara mateix, ⊙nosaltres {{c1::posem::…posar…}} (diners en la mesa)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres posar 
785|⊙ Ara mateix, ⊙vosaltres {{c1::ponéis::…poner…}} (diners en la mesa)| ends_in_er extreme_irregularity irregular_verb poner presente regular_form vosotros |poner|posar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::ponéis::…poner…}} (dinero en la mesa)|poseu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (diners en la mesa)|⊙ Ara mateix, ⊙vosaltres {{c1::poseu::…posar…}} (diners en la mesa)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres posar 
786|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::ponen::…poner…}} (diners en la mesa)| ellos_ellas_ustedes ends_in_er extreme_irregularity in_the_wild irregular_verb modismo poner presente regular_form |poner|posar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::ponen::…poner…}} (dinero en la mesa)|posen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (diners en la mesa)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::posen::…posar…}} (diners en la mesa)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès posar 
830|⊙ Ara mateix, ⊙jo {{c1::parezco::…parecer…}} (feliç)| ends_in_er irregular_form irregular_verb low_irregularity parecer presente yo |parecer|semblar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::parezco::…parecer…}} (feliz)|semblo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (feliç)|⊙ Ara mateix, ⊙jo {{c1::semblo::…semblar…}} (feliç)|present|indicatiu|-ar|jo| present indicatiu -ar jo semblar 
831|⊙ Ara mateix, ⊙tu {{c1::pareces::…parecer…}} (feliç)| ends_in_er irregular_verb low_irregularity parecer presente regular_form tú tú_vos |parecer|semblar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::pareces::…parecer…}} (feliz)|sembles|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (feliç)|⊙ Ara mateix, ⊙tu {{c1::sembles::…semblar…}} (feliç)|present|indicatiu|-ar|tu| present indicatiu -ar tu semblar 
832|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::parece::…parecer…}} (feliç)| ends_in_er in_the_wild irregular_verb low_irregularity modismo parecer presente regular_form él_ella_usted |parecer|semblar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::parece::…parecer…}} (feliz)|sembla|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (feliç)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::sembla::…semblar…}} (feliç)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè semblar 
833|⊙ Ara mateix, ⊙nosaltres {{c1::parecemos::…parecer…}} (feliços)| ends_in_er irregular_verb low_irregularity nosotros parecer presente regular_form |parecer|semblar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::parecemos::…parecer…}} (felices)|semblem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (feliços)|⊙ Ara mateix, ⊙nosaltres {{c1::semblem::…semblar…}} (feliços)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres semblar 
834|⊙ Ara mateix, ⊙vosaltres {{c1::parecéis::…parecer…}} (feliços)| ends_in_er irregular_verb low_irregularity parecer presente regular_form vosotros |parecer|semblar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::parecéis::…parecer…}} (felices)|sembleu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (feliços)|⊙ Ara mateix, ⊙vosaltres {{c1::sembleu::…semblar…}} (feliços)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres semblar 
835|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::parecen::…parecer…}} (feliços)| ellos_ellas_ustedes ends_in_er in_the_wild irregular_verb low_irregularity modismo parecer presente regular_form |parecer|semblar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::parecen::…parecer…}} (felices)|semblen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (feliços)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::semblen::…semblar…}} (feliços)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès semblar 
879|⊙ Ara mateix, ⊙jo {{c1::sigo::…seguir…}} (parlant)| ends_in_ir high_irregularity irregular_form irregular_verb presente seguir yo |seguir|seguir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::sigo::…seguir…}} (hablando)|segueixo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (parlant)|⊙ Ara mateix, ⊙jo {{c1::segueixo::…seguir…}} (parlant)|present|indicatiu|-ir|jo| present indicatiu -ir jo seguir 
880|⊙ Ara mateix, ⊙tu {{c1::sigues::…seguir…}} (parlant)| ends_in_ir high_irregularity irregular_form irregular_verb presente seguir tú tú_vos |seguir|seguir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::sigues::…seguir…}} (hablando)|segueixes|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (parlant)|⊙ Ara mateix, ⊙tu {{c1::segueixes::…seguir…}} (parlant)|present|indicatiu|-ir|tu| present indicatiu -ir tu seguir 
881|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::sigue::…seguir…}} (parlant)| ends_in_ir high_irregularity in_the_wild irregular_form irregular_verb presente refrán seguir él_ella_usted |seguir|seguir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::sigue::…seguir…}} (hablando)|segueix|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (parlant)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::segueix::…seguir…}} (parlant)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè seguir 
882|⊙ Ara mateix, ⊙nosaltres {{c1::seguimos::…seguir…}} (parlant)| ends_in_ir high_irregularity irregular_verb nosotros presente regular_form seguir |seguir|seguir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::seguimos::…seguir…}} (hablando)|seguim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (parlant)|⊙ Ara mateix, ⊙nosaltres {{c1::seguim::…seguir…}} (parlant)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres seguir 
883|⊙ Ara mateix, ⊙vosaltres {{c1::seguís::…seguir…}} (parlant)| ends_in_ir high_irregularity irregular_verb presente regular_form seguir vosotros |seguir|seguir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::seguís::…seguir…}} (hablando)|seguiu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (parlant)|⊙ Ara mateix, ⊙vosaltres {{c1::seguiu::…seguir…}} (parlant)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres seguir 
884|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::siguen::…seguir…}} (parlant)| ellos_ellas_ustedes ends_in_ir high_irregularity irregular_form irregular_verb presente seguir |seguir|seguir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::siguen::…seguir…}} (hablando)|segueixen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (parlant)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::segueixen::…seguir…}} (parlant)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès seguir 
928|⊙ Ara mateix, ⊙jo {{c1::pienso::…pensar…}} (en Buenos Aires)| ends_in_ar irregular_form irregular_verb low_irregularity pensar presente yo |pensar|pensar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::pienso::…pensar…}} (en Buenos Aires)|penso|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (en Buenos Aires)|⊙ Ara mateix, ⊙jo {{c1::penso::…pensar…}} (en Buenos Aires)|present|indicatiu|-ar|jo| present indicatiu -ar jo pensar 
929|⊙ Ara mateix, ⊙tu {{c1::piensas::…pensar…}} (en Buenos Aires)| ends_in_ar irregular_form irregular_verb low_irregularity pensar presente tú tú_vos |pensar|pensar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::piensas::…pensar…}} (en Buenos Aires)|penses|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (en Buenos Aires)|⊙ Ara mateix, ⊙tu {{c1::penses::…pensar…}} (en Buenos Aires)|present|indicatiu|-ar|tu| present indicatiu -ar tu pensar 
930|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::piensa::…pensar…}} (en Buenos Aires)| cita ends_in_ar in_the_wild irregular_form irregular_verb low_irregularity pensar presente él_ella_usted |pensar|pensar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::piensa::…pensar…}} (en Buenos Aires)|pensa|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (en Buenos Aires)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::pensa::…pensar…}} (en Buenos Aires)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè pensar 
931|⊙ Ara mateix, ⊙nosaltres {{c1::pensamos::…pensar…}} (en Buenos Aires)| ends_in_ar irregular_verb low_irregularity nosotros pensar presente regular_form |pensar|pensar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::pensamos::…pensar…}} (en Buenos Aires)|pensem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (en Buenos Aires)|⊙ Ara mateix, ⊙nosaltres {{c1::pensem::…pensar…}} (en Buenos Aires)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres pensar 
932|⊙ Ara mateix, ⊙vosaltres {{c1::pensáis::…pensar…}} (en Buenos Aires)| ends_in_ar irregular_verb low_irregularity pensar presente regular_form vosotros |pensar|pensar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::pensáis::…pensar…}} (en Buenos Aires)|penseu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (en Buenos Aires)|⊙ Ara mateix, ⊙vosaltres {{c1::penseu::…pensar…}} (en Buenos Aires)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres pensar 
933|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::piensan::…pensar…}} (en Buenos Aires)| ellos_ellas_ustedes ends_in_ar irregular_form irregular_verb low_irregularity pensar presente |pensar|pensar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::piensan::…pensar…}} (en Buenos Aires)|pensen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (en Buenos Aires)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::pensen::…pensar…}} (en Buenos Aires)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès pensar 
977|⊙ Ara mateix, ⊙jo {{c1::vengo::…venir…}} (per aquí)| ends_in_ir extreme_irregularity irregular_form irregular_verb presente venir yo |venir|venir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::vengo::…venir…}} (por aquí)|vinc|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (per aquí)|⊙ Ara mateix, ⊙jo {{c1::vinc::…venir…}} (per aquí)|present|indicatiu|-ir|jo| present indicatiu -ir jo venir 
978|⊙ Ara mateix, ⊙tu {{c1::vienes::…venir…}} (per aquí)| ends_in_ir extreme_irregularity irregular_form irregular_verb presente tú tú_vos venir |venir|venir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::vienes::…venir…}} (por aquí)|vens|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (per aquí)|⊙ Ara mateix, ⊙tu {{c1::vens::…venir…}} (per aquí)|present|indicatiu|-ir|tu| present indicatiu -ir tu venir 
979|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::viene::…venir…}} (per aquí)| ends_in_ir extreme_irregularity in_the_wild irregular_form irregular_verb modismo presente venir él_ella_usted |venir|venir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::viene::…venir…}} (por aquí)|ve|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (per aquí)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::ve::…venir…}} (per aquí)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè venir 
980|⊙ Ara mateix, ⊙nosaltres {{c1::venimos::…venir…}} (per aquí)| ends_in_ir extreme_irregularity irregular_verb nosotros presente regular_form venir |venir|venir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::venimos::…venir…}} (por aquí)|venim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (per aquí)|⊙ Ara mateix, ⊙nosaltres {{c1::venim::…venir…}} (per aquí)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres venir 
981|⊙ Ara mateix, ⊙vosaltres {{c1::venís::…venir…}} (per aquí)| ends_in_ir extreme_irregularity irregular_verb presente regular_form venir vosotros |venir|venir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::venís::…venir…}} (por aquí)|veniu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (per aquí)|⊙ Ara mateix, ⊙vosaltres {{c1::veniu::…venir…}} (per aquí)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres venir 
982|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::vienen::…venir…}} (per aquí)| ellos_ellas_ustedes ends_in_ir extreme_irregularity irregular_form irregular_verb presente venir |venir|venir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::vienen::…venir…}} (por aquí)|venen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (per aquí)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::venen::…venir…}} (per aquí)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès venir 
1026|⊙ Ara mateix, ⊙jo {{c1::encuentro::…encontrar…}} (dificultats)| encontrar ends_in_ar irregular_form irregular_verb low_irregularity presente yo |encontrar|trobar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::encuentro::…encontrar…}} (dificultades)|trobo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (dificultats)|⊙ Ara mateix, ⊙jo {{c1::trobo::…trobar…}} (dificultats)|present|indicatiu|-ar|jo| present indicatiu -ar jo trobar 
1027|⊙ Ara mateix, ⊙tu {{c1::encuentras::…encontrar…}} (dificultats)| encontrar ends_in_ar irregular_form irregular_verb low_irregularity presente tú tú_vos |encontrar|trobar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::encuentras::…encontrar…}} (dificultades)|trobes|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (dificultats)|⊙ Ara mateix, ⊙tu {{c1::trobes::…trobar…}} (dificultats)|present|indicatiu|-ar|tu| present indicatiu -ar tu trobar 
1028|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::encuentra::…encontrar…}} (dificultats)| encontrar ends_in_ar irregular_form irregular_verb low_irregularity presente él_ella_usted |encontrar|trobar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::encuentra::…encontrar…}} (dificultades)|troba|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (dificultats)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::troba::…trobar…}} (dificultats)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè trobar 
1029|⊙ Ara mateix, ⊙nosaltres {{c1::encontramos::…encontrar…}} (dificultats)| encontrar ends_in_ar irregular_verb low_irregularity nosotros presente regular_form |encontrar|trobar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::encontramos::…encontrar…}} (dificultades)|trobem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (dificultats)|⊙ Ara mateix, ⊙nosaltres {{c1::trobem::…trobar…}} (dificultats)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres trobar 
1030|⊙ Ara mateix, ⊙vosaltres {{c1::encontráis::…encontrar…}} (dificultats)| encontrar ends_in_ar irregular_verb low_irregularity presente regular_form vosotros |encontrar|trobar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::encontráis::…encontrar…}} (dificultades)|trobeu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (dificultats)|⊙ Ara mateix, ⊙vosaltres {{c1::trobeu::…trobar…}} (dificultats)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres trobar 
1031|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::encuentran::…encontrar…}} (dificultats)| ellos_ellas_ustedes encontrar ends_in_ar irregular_form irregular_verb low_irregularity presente |encontrar|trobar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::encuentran::…encontrar…}} (dificultades)|troben|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (dificultats)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::troben::…trobar…}} (dificultats)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès trobar 
1075|⊙ Ara mateix, ⊙jo {{c1::salgo::…sortir…}} (la ciutat)| ends_in_ir irregular_form irregular_verb moderate_irregularity presente salir yo |salir|sortir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::salgo::…salir…}} (de la ciudad)|surto|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (la ciutat)|⊙ Ara mateix, ⊙jo {{c1::surto::…sortir…}} (la ciutat)|present|indicatiu|-ir|jo| present indicatiu -ir jo sortir 
1076|⊙ Ara mateix, ⊙tu {{c1::sales::…sortir…}} (la ciutat)| ends_in_ir irregular_verb moderate_irregularity presente regular_form salir tú tú_vos |salir|sortir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::sales::…salir…}} (de la ciudad)|surts|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (la ciutat)|⊙ Ara mateix, ⊙tu {{c1::surts::…sortir…}} (la ciutat)|present|indicatiu|-ir|tu| present indicatiu -ir tu sortir 
1077|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::sale::…sortir…}} (la ciutat)| ends_in_ir irregular_verb moderate_irregularity presente regular_form salir él_ella_usted |salir|sortir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::sale::…salir…}} (de la ciudad)|surt|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (la ciutat)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::surt::…sortir…}} (la ciutat)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè sortir 
1078|⊙ Ara mateix, ⊙nosaltres {{c1::salimos::…sortir…}} (la ciutat)| ends_in_ir irregular_verb moderate_irregularity nosotros presente regular_form salir |salir|sortir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::salimos::…salir…}} (de la ciudad)|sortim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (la ciutat)|⊙ Ara mateix, ⊙nosaltres {{c1::sortim::…sortir…}} (la ciutat)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres sortir 
1079|⊙ Ara mateix, ⊙vosaltres {{c1::salís::…sortir…}} (la ciutat)| ends_in_ir irregular_verb moderate_irregularity presente regular_form salir vosotros |salir|sortir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::salís::…salir…}} (de la ciudad)|sortiu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (la ciutat)|⊙ Ara mateix, ⊙vosaltres {{c1::sortiu::…sortir…}} (la ciutat)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres sortir 
1080|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::salen::…sortir…}} (la ciutat)| ellos_ellas_ustedes ends_in_ir irregular_verb moderate_irregularity presente regular_form salir |salir|sortir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::salen::…salir…}} (de la ciudad)|surten|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (la ciutat)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::surten::…sortir…}} (la ciutat)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès sortir 
1124|⊙ Ara mateix, ⊙jo {{c1::vuelvo::…volver…}} (a la ciutat)| ends_in_er irregular_form irregular_verb low_irregularity presente volver yo |volver|tornar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::vuelvo::…volver…}} (a la ciudad)|torno|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (a la ciutat)|⊙ Ara mateix, ⊙jo {{c1::torno::…tornar…}} (a la ciutat)|present|indicatiu|-ar|jo| present indicatiu -ar jo tornar 
1125|⊙ Ara mateix, ⊙tu {{c1::vuelves::…volver…}} (a la ciutat)| ends_in_er irregular_form irregular_verb low_irregularity presente tú tú_vos volver |volver|tornar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::vuelves::…volver…}} (a la ciudad)|tornes|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (a la ciutat)|⊙ Ara mateix, ⊙tu {{c1::tornes::…tornar…}} (a la ciutat)|present|indicatiu|-ar|tu| present indicatiu -ar tu tornar 
1126|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::vuelve::…volver…}} (a la ciutat)| ends_in_er irregular_form irregular_verb low_irregularity presente volver él_ella_usted |volver|tornar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::vuelve::…volver…}} (a la ciudad)|torna|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (a la ciutat)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::torna::…tornar…}} (a la ciutat)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè tornar 
1127|⊙ Ara mateix, ⊙nosaltres {{c1::volvemos::…volver…}} (a la ciutat)| ends_in_er irregular_verb low_irregularity nosotros presente regular_form volver |volver|tornar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::volvemos::…volver…}} (a la ciudad)|tornem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (a la ciutat)|⊙ Ara mateix, ⊙nosaltres {{c1::tornem::…tornar…}} (a la ciutat)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres tornar 
1128|⊙ Ara mateix, ⊙vosaltres {{c1::volvéis::…volver…}} (a la ciutat)| ends_in_er irregular_verb low_irregularity presente regular_form volver vosotros |volver|tornar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::volvéis::…volver…}} (a la ciudad)|torneu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (a la ciutat)|⊙ Ara mateix, ⊙vosaltres {{c1::torneu::…tornar…}} (a la ciutat)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres tornar 
1129|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::vuelven::…volver…}} (a la ciutat)| ellos_ellas_ustedes ends_in_er irregular_form irregular_verb low_irregularity presente volver |volver|tornar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::vuelven::…volver…}} (a la ciudad)|tornen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (a la ciutat)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::tornen::…tornar…}} (a la ciutat)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès tornar 
1173|⊙ Ara mateix, ⊙jo {{c1::siento::…sentir…}} (orgull)| ends_in_ir high_irregularity irregular_form irregular_verb presente sentir yo |sentir|sentir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::siento::…sentir…}} (orgullo)|sento|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (orgull)|⊙ Ara mateix, ⊙jo {{c1::sento::…sentir…}} (orgull)|present|indicatiu|-ir|jo| present indicatiu -ir jo sentir 
1174|⊙ Ara mateix, ⊙tu {{c1::sientes::…sentir…}} (orgull)| ends_in_ir high_irregularity irregular_form irregular_verb presente sentir tú tú_vos |sentir|sentir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::sientes::…sentir…}} (orgullo)|sents|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (orgull)|⊙ Ara mateix, ⊙tu {{c1::sents::…sentir…}} (orgull)|present|indicatiu|-ir|tu| present indicatiu -ir tu sentir 
1175|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::siente::…sentir…}} (orgull)| ends_in_ir high_irregularity in_the_wild irregular_form irregular_verb presente refrán sentir él_ella_usted |sentir|sentir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::siente::…sentir…}} (orgullo)|sent|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (orgull)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::sent::…sentir…}} (orgull)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè sentir 
1176|⊙ Ara mateix, ⊙nosaltres {{c1::sentimos::…sentir…}} (orgull)| ends_in_ir high_irregularity irregular_verb nosotros presente regular_form sentir |sentir|sentir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::sentimos::…sentir…}} (orgullo)|sentim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (orgull)|⊙ Ara mateix, ⊙nosaltres {{c1::sentim::…sentir…}} (orgull)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres sentir 
1177|⊙ Ara mateix, ⊙vosaltres {{c1::sentís::…sentir…}} (orgull)| ends_in_ir high_irregularity irregular_verb presente regular_form sentir vosotros |sentir|sentir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::sentís::…sentir…}} (orgullo)|sentiu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (orgull)|⊙ Ara mateix, ⊙vosaltres {{c1::sentiu::…sentir…}} (orgull)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres sentir 
