note|tags|spanish_verb|inf_verb|person|sing_or_plural|mood|tense|pos_neg_cmd|context_phrase|cast_note|conj_verb|code|region|verb_type|gender|haver_verb|anar_verb|note1|note2|cat_note|tense_tag|mood_tag|ending_tag|pronoun_tag|cat_tags
Vosaltres equip, si us plau,  (que) {{c1::enviemos::…enviar…}} (las cartes), ja !(nosaltres)| ends_in_ar enviar imperativo irregular_verb low_irregularity nosotros regular_form |enviar|enviar|1|P|M|0|pos|que|Vámonos equipo, por favor,¡ (que) {{c1::enviemos::…enviar…}} (las cartas), ya !(nosotros)|enviem|VMM01P00|central|M|0|||Vosaltres equip, si us plau,  (que) | (las cartes), ja !(nosaltres)|Vosaltres equip, si us plau,  (que) {{c1::enviem::…enviar…}} (las cartes), ja !(nosaltres)||imperatiu|-ar|nosaltres| imperatiu -ar nosaltres enviar 
Tu i tu, si us plau,  {{c1::enviad::…enviar…}} (las cartes), ja !(vosaltres)| ends_in_ar enviar imperativo irregular_verb low_irregularity regular_form vosotros |enviar|enviar|2|P|M|0|pos|las cartas|Tú y tú, por favor,¡ {{c1::enviad::…enviar…}} (las cartas), ya !(vosotros)|envieu|VMM02P0X|central|M|0|||Tu i tu, si us plau,  | (las cartes), ja !(vosaltres)|Tu i tu, si us plau,  {{c1::envieu::…enviar…}} (las cartes), ja !(vosaltres)||imperatiu|-ar|vosaltres| imperatiu -ar vosaltres enviar 
Senjors, si us plau,  (que) {{c1::envíen::…enviar…}} (las cartes), ja ! (ells/elles/vostès)| ellos_ellas_ustedes ends_in_ar enviar imperativo irregular_form irregular_verb low_irregularity |enviar|enviar|3|P|M|0|pos|que|Señores, por favor,¡ (que) {{c1::envíen::…enviar…}} (las cartas), ya ! (ellos/ellas/ustedes)|enviïn|VMM03P0Y|central|M|0|||Senjors, si us plau,  (que) | (las cartes), ja ! (ells/elles/vostès)|Senjors, si us plau,  (que) {{c1::enviïn::…enviar…}} (las cartes), ja ! (ells/elles/vostès)||imperatiu|-ar|ells/elles/vostès| imperatiu -ar ells/elles/vostès enviar 
A mesura que estic estudiant…ella està {{c1::adquiriendo::…adquirir…}} (llibres)| adquirir ends_in_ir gerundio irregular_verb low_irregularity regular_form |adquirir|adquirir|0|0|G|0|0|libros|Mientras estoy estudiando…ella está {{c1::adquiriendo::…adquirir…}} (libros)|adquirint|VMG00000|central|M|0|||A mesura que estic estudiant…ella està | (llibres)|A mesura que estic estudiant…ella està {{c1::adquirint::…adquirir…}} (llibres)||gerundi|-ir|| gerundi -ir adquirir 
Hugo ha {{c1::adquirido::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_verb low_irregularity participio regular_form |adquirir|adquirir|0|S|P|0|0|libros|Hugo ha {{c1::adquirido::…adquirir…}} (libros)|adquirit|VMP00SM0|central|M|M|||Hugo ha | (llibres)|Hugo ha {{c1::adquirit::…adquirir…}} (llibres)||participi|-ir|| participi -ir adquirir 
⊙ Ara mateix, ⊙jo {{c1::adquiero::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_form irregular_verb low_irregularity presente yo |adquirir|adquirir|1|S|I|P|0|libros|⊙ Ahora mismo, ⊙yo {{c1::adquiero::…adquirir…}} (libros)|adquireixo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (llibres)|⊙ Ara mateix, ⊙jo {{c1::adquireixo::…adquirir…}} (llibres)|present|indicatiu|-ir|jo| present indicatiu -ir jo adquirir 
⊙ Ara mateix, ⊙tu {{c1::adquieres::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_form irregular_verb low_irregularity presente tú tú_vos |adquirir|adquirir|2|S|I|P|0|libros|⊙ Ahora mismo, ⊙tú {{c1::adquieres::…adquirir…}} (libros)|adquireixes|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (llibres)|⊙ Ara mateix, ⊙tu {{c1::adquireixes::…adquirir…}} (llibres)|present|indicatiu|-ir|tu| present indicatiu -ir tu adquirir 
⊙ Ara mateix, ⊙ell/ella/vostè {{c1::adquiere::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_form irregular_verb low_irregularity presente él_ella_usted |adquirir|adquirir|3|S|I|P|0|libros|⊙ Ahora mismo, ⊙él/ella/usted {{c1::adquiere::…adquirir…}} (libros)|adquireix|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (llibres)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::adquireix::…adquirir…}} (llibres)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè adquirir 
⊙ Ara mateix, ⊙nosaltres {{c1::adquirimos::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_verb low_irregularity nosotros presente regular_form |adquirir|adquirir|1|P|I|P|0|libros|⊙ Ahora mismo, ⊙nosotros {{c1::adquirimos::…adquirir…}} (libros)|adquirim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (llibres)|⊙ Ara mateix, ⊙nosaltres {{c1::adquirim::…adquirir…}} (llibres)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres adquirir 
⊙ Ara mateix, ⊙vosaltres {{c1::adquirís::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_verb low_irregularity presente regular_form vosotros |adquirir|adquirir|2|P|I|P|0|libros|⊙ Ahora mismo, ⊙vosotros {{c1::adquirís::…adquirir…}} (libros)|adquiriu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (llibres)|⊙ Ara mateix, ⊙vosaltres {{c1::adquiriu::…adquirir…}} (llibres)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres adquirir 
⊙ Ara mateix, ⊙ells/elles/vostès {{c1::adquieren::…adquirir…}} (llibres)| adquirir ellos_ellas_ustedes ends_in_ir irregular_form irregular_verb low_irregularity presente |adquirir|adquirir|3|P|I|P|0|libros|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::adquieren::…adquirir…}} (libros)|adquireixen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (llibres)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::adquireixen::…adquirir…}} (llibres)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès adquirir 
⇠ En aquella època, sovint, ⇠jo {{c1::adquiría::…adquirir…}} (llibres)| adquirir ends_in_ir imperfecto irregular_verb low_irregularity regular_form yo |adquirir|adquirir|1|S|I|I|0|libros|⇠ En esa época, a menudo, ⇠yo {{c1::adquiría::…adquirir…}} (libros)|adquiria|VMII1S00|central|M|0|||⇠ En aquella època, sovint, ⇠jo | (llibres)|⇠ En aquella època, sovint, ⇠jo {{c1::adquiria::…adquirir…}} (llibres)|imperfet|indicatiu|-ir|jo| imperfet indicatiu -ir jo adquirir 
⇠ En aquella època, sovint, ⇠tu {{c1::adquirías::…adquirir…}} (llibres)| adquirir ends_in_ir imperfecto irregular_verb low_irregularity regular_form tú_vos |adquirir|adquirir|2|S|I|I|0|libros|⇠ En esa época, a menudo, ⇠tú/vos {{c1::adquirías::…adquirir…}} (libros)|adquiries|VMII2S00|central|M|0|||⇠ En aquella època, sovint, ⇠tu | (llibres)|⇠ En aquella època, sovint, ⇠tu {{c1::adquiries::…adquirir…}} (llibres)|imperfet|indicatiu|-ir|tu| imperfet indicatiu -ir tu adquirir 
⇠ En aquella època, sovint, ⇠ell/ella/vostè {{c1::adquiría::…adquirir…}} (llibres)| adquirir ends_in_ir imperfecto irregular_verb low_irregularity regular_form él_ella_usted |adquirir|adquirir|3|S|I|I|0|libros|⇠ En esa época, a menudo, ⇠él/ella/usted {{c1::adquiría::…adquirir…}} (libros)|adquiria|VMII3S00|central|M|0|||⇠ En aquella època, sovint, ⇠ell/ella/vostè | (llibres)|⇠ En aquella època, sovint, ⇠ell/ella/vostè {{c1::adquiria::…adquirir…}} (llibres)|imperfet|indicatiu|-ir|ell/ella/vostè| imperfet indicatiu -ir ell/ella/vostè adquirir 
⇠ En aquella època, sovint, ⇠nosaltres {{c1::adquiríamos::…adquirir…}} (llibres)| adquirir ends_in_ir imperfecto irregular_verb low_irregularity nosotros regular_form |adquirir|adquirir|1|P|I|I|0|libros|⇠ En esa época, a menudo, ⇠nosotros {{c1::adquiríamos::…adquirir…}} (libros)|adquiríem|VMII1P00|central|M|0|||⇠ En aquella època, sovint, ⇠nosaltres | (llibres)|⇠ En aquella època, sovint, ⇠nosaltres {{c1::adquiríem::…adquirir…}} (llibres)|imperfet|indicatiu|-ir|nosaltres| imperfet indicatiu -ir nosaltres adquirir 
⇠ En aquella època, sovint, ⇠vosaltres {{c1::adquiríais::…adquirir…}} (llibres)| adquirir ends_in_ir imperfecto irregular_verb low_irregularity regular_form vosotros |adquirir|adquirir|2|P|I|I|0|libros|⇠ En esa época, a menudo, ⇠vosotros {{c1::adquiríais::…adquirir…}} (libros)|adquiríeu|VMII2P00|central|M|0|||⇠ En aquella època, sovint, ⇠vosaltres | (llibres)|⇠ En aquella època, sovint, ⇠vosaltres {{c1::adquiríeu::…adquirir…}} (llibres)|imperfet|indicatiu|-ir|vosaltres| imperfet indicatiu -ir vosaltres adquirir 
⇠ En aquella època, sovint, ⇠ells/elles/vostès {{c1::adquirían::…adquirir…}} (llibres)| adquirir ellos_ellas_ustedes ends_in_ir imperfecto irregular_verb low_irregularity regular_form |adquirir|adquirir|3|P|I|I|0|libros|⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes {{c1::adquirían::…adquirir…}} (libros)|adquirien|VMII3P00|central|M|0|||⇠ En aquella època, sovint, ⇠ells/elles/vostès | (llibres)|⇠ En aquella època, sovint, ⇠ells/elles/vostès {{c1::adquirien::…adquirir…}} (llibres)|imperfet|indicatiu|-ir|ells/elles/vostès| imperfet indicatiu -ir ells/elles/vostès adquirir 
↧ En aquell moment ↧jo {{c1::adquirí::…adquirir…}} (llibres)| adquirir ends_in_ir indefinido irregular_verb low_irregularity regular_form yo |adquirir|adquirir|1|S|I|passat_perifrastic|0|libros|↧ En aquel momento ↧yo {{c1::adquirí::…adquirir…}} (libros)|vaig adquirir||||||vaig|↧ En aquell moment ↧jo | (llibres)|↧ En aquell moment ↧jo {{c1::vaig adquirir::…adquirir…}} (llibres)|passat_perifrastic|indicatiu|-ir|jo| passat_perifrastic indicatiu -ir jo adquirir 
↧ En aquell moment ↧tu {{c1::adquiriste::…adquirir…}} (llibres)| adquirir ends_in_ir indefinido irregular_verb low_irregularity regular_form tú_vos |adquirir|adquirir|2|S|I|passat_perifrastic|0|libros|↧ En aquel momento ↧tú/vos {{c1::adquiriste::…adquirir…}} (libros)|vas adquirir||||||vas|↧ En aquell moment ↧tu | (llibres)|↧ En aquell moment ↧tu {{c1::vas adquirir::…adquirir…}} (llibres)|passat_perifrastic|indicatiu|-ir|tu| passat_perifrastic indicatiu -ir tu adquirir 
↧ En aquell moment ↧ell/ella/vostè {{c1::adquirió::…adquirir…}} (llibres)| adquirir ends_in_ir indefinido irregular_verb low_irregularity regular_form él_ella_usted |adquirir|adquirir|3|S|I|passat_perifrastic|0|libros|↧ En aquel momento ↧él/ella/usted {{c1::adquirió::…adquirir…}} (libros)|va adquirir||||||va|↧ En aquell moment ↧ell/ella/vostè | (llibres)|↧ En aquell moment ↧ell/ella/vostè {{c1::va adquirir::…adquirir…}} (llibres)|passat_perifrastic|indicatiu|-ir|ell/ella/vostè| passat_perifrastic indicatiu -ir ell/ella/vostè adquirir 
↧ En aquell moment ↧nosaltres {{c1::adquirimos::…adquirir…}} (llibres)| adquirir ends_in_ir indefinido irregular_verb low_irregularity nosotros regular_form |adquirir|adquirir|1|P|I|passat_perifrastic|0|libros|↧ En aquel momento ↧nosotros {{c1::adquirimos::…adquirir…}} (libros)|vam adquirir||||||vam|↧ En aquell moment ↧nosaltres | (llibres)|↧ En aquell moment ↧nosaltres {{c1::vam adquirir::…adquirir…}} (llibres)|passat_perifrastic|indicatiu|-ir|nosaltres| passat_perifrastic indicatiu -ir nosaltres adquirir 
↧ En aquell moment ↧vosaltres {{c1::adquiristeis::…adquirir…}} (llibres)| adquirir ends_in_ir indefinido irregular_verb low_irregularity regular_form vosotros |adquirir|adquirir|2|P|I|passat_perifrastic|0|libros|↧ En aquel momento ↧vosotros {{c1::adquiristeis::…adquirir…}} (libros)|vau adquirir||||||vau|↧ En aquell moment ↧vosaltres | (llibres)|↧ En aquell moment ↧vosaltres {{c1::vau adquirir::…adquirir…}} (llibres)|passat_perifrastic|indicatiu|-ir|vosaltres| passat_perifrastic indicatiu -ir vosaltres adquirir 
↧ En aquell moment ↧ells/elles/vostès {{c1::adquirieron::…adquirir…}} (llibres)| adquirir ellos_ellas_ustedes ends_in_ir indefinido irregular_verb low_irregularity regular_form |adquirir|adquirir|3|P|I|passat_perifrastic|0|libros|↧ En aquel momento ↧ellos/ellas/ustedes {{c1::adquirieron::…adquirir…}} (libros)|van adquirir||||||van|↧ En aquell moment ↧ells/elles/vostès | (llibres)|↧ En aquell moment ↧ells/elles/vostès {{c1::van adquirir::…adquirir…}} (llibres)|passat_perifrastic|indicatiu|-ir|ells/elles/vostès| passat_perifrastic indicatiu -ir ells/elles/vostès adquirir 
→ En el futur, →jo {{c1::adquiriré::…adquirir…}} (llibres)| adquirir ends_in_ir futuro irregular_verb low_irregularity regular_form yo |adquirir|adquirir|1|S|I|F|0|libros|→ En el futuro, →yo {{c1::adquiriré::…adquirir…}} (libros)|adquiriré|VMIF1S00|central|M|0|||→ En el futur, →jo | (llibres)|→ En el futur, →jo {{c1::adquiriré::…adquirir…}} (llibres)|futur|indicatiu|-ir|jo| futur indicatiu -ir jo adquirir 
→ En el futur, →tu {{c1::adquirirás::…adquirir…}} (llibres)| adquirir ends_in_ir futuro irregular_verb low_irregularity regular_form tú_vos |adquirir|adquirir|2|S|I|F|0|libros|→ En el futuro, →tú/vos {{c1::adquirirás::…adquirir…}} (libros)|adquiriràs|VMIF2S00|central|M|0|||→ En el futur, →tu | (llibres)|→ En el futur, →tu {{c1::adquiriràs::…adquirir…}} (llibres)|futur|indicatiu|-ir|tu| futur indicatiu -ir tu adquirir 
→ En el futur, →ell/ella/vostè {{c1::adquirirá::…adquirir…}} (llibres)| adquirir ends_in_ir futuro irregular_verb low_irregularity regular_form él_ella_usted |adquirir|adquirir|3|S|I|F|0|libros|→ En el futuro, →él/ella/usted {{c1::adquirirá::…adquirir…}} (libros)|adquirirà|VMIF3S00|central|M|0|||→ En el futur, →ell/ella/vostè | (llibres)|→ En el futur, →ell/ella/vostè {{c1::adquirirà::…adquirir…}} (llibres)|futur|indicatiu|-ir|ell/ella/vostè| futur indicatiu -ir ell/ella/vostè adquirir 
→ En el futur, →nosaltres {{c1::adquiriremos::…adquirir…}} (llibres)| adquirir ends_in_ir futuro irregular_verb low_irregularity nosotros regular_form |adquirir|adquirir|1|P|I|F|0|libros|→ En el futuro, →nosotros {{c1::adquiriremos::…adquirir…}} (libros)|adquirirem|VMIF1P00|central|M|0|||→ En el futur, →nosaltres | (llibres)|→ En el futur, →nosaltres {{c1::adquirirem::…adquirir…}} (llibres)|futur|indicatiu|-ir|nosaltres| futur indicatiu -ir nosaltres adquirir 
→ En el futur, →vosaltres {{c1::adquiriréis::…adquirir…}} (llibres)| adquirir ends_in_ir futuro irregular_verb low_irregularity regular_form vosotros |adquirir|adquirir|2|P|I|F|0|libros|→ En el futuro, →vosotros {{c1::adquiriréis::…adquirir…}} (libros)|adquirireu|VMIF2P00|central|M|0|||→ En el futur, →vosaltres | (llibres)|→ En el futur, →vosaltres {{c1::adquirireu::…adquirir…}} (llibres)|futur|indicatiu|-ir|vosaltres| futur indicatiu -ir vosaltres adquirir 
→ En el futur, →ells/elles/vostès {{c1::adquirirán::…adquirir…}} (llibres)| adquirir ellos_ellas_ustedes ends_in_ir futuro irregular_verb low_irregularity regular_form |adquirir|adquirir|3|P|I|F|0|libros|→ En el futuro, →ellos/ellas/ustedes {{c1::adquirirán::…adquirir…}} (libros)|adquiriran|VMIF3P00|central|M|0|||→ En el futur, →ells/elles/vostès | (llibres)|→ En el futur, →ells/elles/vostès {{c1::adquiriran::…adquirir…}} (llibres)|futur|indicatiu|-ir|ells/elles/vostès| futur indicatiu -ir ells/elles/vostès adquirir 
… Si passés això, …jo {{c1::adquiriría::…adquirir…}} (llibres)| adquirir condicional ends_in_ir irregular_verb low_irregularity regular_form yo |adquirir|adquirir|1|S|I|C|0|libros|… Si ocurriese esto, …yo {{c1::adquiriría::…adquirir…}} (libros)|adquiriria|VMIC1S00|central|M|0|||… Si passés això, …jo | (llibres)|… Si passés això, …jo {{c1::adquiriria::…adquirir…}} (llibres)|condicional|indicatiu|-ir|jo| condicional indicatiu -ir jo adquirir 
… Si sucediera esto, …tu {{c1::adquirirías::…adquirir…}} (llibres)| adquirir condicional ends_in_ir irregular_verb low_irregularity regular_form tú_vos |adquirir|adquirir|2|S|I|C|0|libros|… Si sucediera esto, …tú/vos {{c1::adquirirías::…adquirir…}} (libros)|adquiriries|VMIC2S00|central|M|0|||… Si sucediera esto, …tu | (llibres)|… Si sucediera esto, …tu {{c1::adquiriries::…adquirir…}} (llibres)|condicional|indicatiu|-ir|tu| condicional indicatiu -ir tu adquirir 
… Si s'esdevingués alguna cosa, …ell/ella/vostè {{c1::adquiriría::…adquirir…}} (llibres)| adquirir condicional ends_in_ir irregular_verb low_irregularity regular_form él_ella_usted |adquirir|adquirir|3|S|I|C|0|libros|… Si acaeciera algo, …él/ella/usted {{c1::adquiriría::…adquirir…}} (libros)|adquiriria|VMIC3S00|central|M|0|||… Si s'esdevingués alguna cosa, …ell/ella/vostè | (llibres)|… Si s'esdevingués alguna cosa, …ell/ella/vostè {{c1::adquiriria::…adquirir…}} (llibres)|condicional|indicatiu|-ir|ell/ella/vostè| condicional indicatiu -ir ell/ella/vostè adquirir 
… Si passés alguna cosa, …nosaltres {{c1::adquiriríamos::…adquirir…}} (llibres)| adquirir condicional ends_in_ir irregular_verb low_irregularity nosotros regular_form |adquirir|adquirir|1|P|I|C|0|libros|… Si pasara algo, …nosotros {{c1::adquiriríamos::…adquirir…}} (libros)|adquiriríem|VMIC1P00|central|M|0|||… Si passés alguna cosa, …nosaltres | (llibres)|… Si passés alguna cosa, …nosaltres {{c1::adquiriríem::…adquirir…}} (llibres)|condicional|indicatiu|-ir|nosaltres| condicional indicatiu -ir nosaltres adquirir 
… Si s'esdevingués això, …vosaltres {{c1::adquiriríais::…adquirir…}} (llibres)| adquirir condicional ends_in_ir irregular_verb low_irregularity regular_form vosotros |adquirir|adquirir|2|P|I|C|0|libros|… Si aconteciese esto, …vosotros {{c1::adquiriríais::…adquirir…}} (libros)|adquiriríeu|VMIC2P00|central|M|0|||… Si s'esdevingués això, …vosaltres | (llibres)|… Si s'esdevingués això, …vosaltres {{c1::adquiriríeu::…adquirir…}} (llibres)|condicional|indicatiu|-ir|vosaltres| condicional indicatiu -ir vosaltres adquirir 
… Si es produís això, …ells/elles/vostès {{c1::adquirirían::…adquirir…}} (llibres)| adquirir condicional ellos_ellas_ustedes ends_in_ir irregular_verb low_irregularity regular_form |adquirir|adquirir|3|P|I|C|0|libros|… Si se produjera esto, …ellos/ellas/ustedes {{c1::adquirirían::…adquirir…}} (libros)|adquiririen|VMIC3P00|central|M|0|||… Si es produís això, …ells/elles/vostès | (llibres)|… Si es produís això, …ells/elles/vostès {{c1::adquiririen::…adquirir…}} (llibres)|condicional|indicatiu|-ir|ells/elles/vostès| condicional indicatiu -ir ells/elles/vostès adquirir 
〰 Resulta divertit que 〰jo {{c1::adquiera::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_form irregular_verb low_irregularity subjuntivo_presente yo |adquirir|adquirir|1|S|S|P|0|libros|〰 Resulta divertido que 〰yo {{c1::adquiera::…adquirir…}} (libros)|adquireixi|VMSP1S0Y|central|M|0|||〰 Resulta divertit que 〰jo | (llibres)|〰 Resulta divertit que 〰jo {{c1::adquireixi::…adquirir…}} (llibres)|present|subjuntiu|-ir|jo| present subjuntiu -ir jo adquirir 
〰 Resulta divertit que 〰tu {{c1::adquieras::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_form irregular_verb low_irregularity subjuntivo_presente tú_vos |adquirir|adquirir|2|S|S|P|0|libros|〰 Resulta divertido que 〰tú/vos {{c1::adquieras::…adquirir…}} (libros)|adquireixis|VMSP2S0Y|central|M|0|||〰 Resulta divertit que 〰tu | (llibres)|〰 Resulta divertit que 〰tu {{c1::adquireixis::…adquirir…}} (llibres)|present|subjuntiu|-ir|tu| present subjuntiu -ir tu adquirir 
〰 Resulta divertit que 〰ell/ella/vostè {{c1::adquiera::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_form irregular_verb low_irregularity subjuntivo_presente él_ella_usted |adquirir|adquirir|3|S|S|P|0|libros|〰 Resulta divertido que 〰él/ella/usted {{c1::adquiera::…adquirir…}} (libros)|adquireixi|VMSP3S0Y|central|M|0|||〰 Resulta divertit que 〰ell/ella/vostè | (llibres)|〰 Resulta divertit que 〰ell/ella/vostè {{c1::adquireixi::…adquirir…}} (llibres)|present|subjuntiu|-ir|ell/ella/vostè| present subjuntiu -ir ell/ella/vostè adquirir 
〰 Resulta divertit que 〰nosaltres {{c1::adquiramos::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_verb low_irregularity nosotros regular_form subjuntivo_presente |adquirir|adquirir|1|P|S|P|0|libros|〰 Resulta divertido que 〰nosotros {{c1::adquiramos::…adquirir…}} (libros)|adquirim|VMSP1P00|central|M|0|||〰 Resulta divertit que 〰nosaltres | (llibres)|〰 Resulta divertit que 〰nosaltres {{c1::adquirim::…adquirir…}} (llibres)|present|subjuntiu|-ir|nosaltres| present subjuntiu -ir nosaltres adquirir 
〰 Resulta divertit que 〰vosaltres {{c1::adquiráis::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_presente vosotros |adquirir|adquirir|2|P|S|P|0|libros|〰 Resulta divertido que 〰vosotros {{c1::adquiráis::…adquirir…}} (libros)|adquiriu|VMSP2P00|central|M|0|||〰 Resulta divertit que 〰vosaltres | (llibres)|〰 Resulta divertit que 〰vosaltres {{c1::adquiriu::…adquirir…}} (llibres)|present|subjuntiu|-ir|vosaltres| present subjuntiu -ir vosaltres adquirir 
〰 Resulta divertit que 〰ells/elles/vostès {{c1::adquieran::…adquirir…}} (llibres)| adquirir ellos_ellas_ustedes ends_in_ir irregular_form irregular_verb low_irregularity subjuntivo_presente |adquirir|adquirir|3|P|S|P|0|libros|〰 Resulta divertido que 〰ellos/ellas/ustedes {{c1::adquieran::…adquirir…}} (libros)|adquireixin|VMSP3P0Y|central|M|0|||〰 Resulta divertit que 〰ells/elles/vostès | (llibres)|〰 Resulta divertit que 〰ells/elles/vostès {{c1::adquireixin::…adquirir…}} (llibres)|present|subjuntiu|-ir|ells/elles/vostès| present subjuntiu -ir ells/elles/vostès adquirir 
"↫ Va ser sorprenent que ↫jo {{c1::adquiriera | adquiriese::…adquirir…}} (llibres)"| adquirir ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_pasado yo |adquirir|adquirir|1|S|S|I|0|libros|"↫ Fue sorprendente que ↫yo {{c1::adquiriera | adquiriese::…adquirir…}} (libros)"|adquirís|VMSI1S01|central|M|0|||↫ Va ser sorprenent que ↫jo | (llibres)|↫ Va ser sorprenent que ↫jo {{c1::adquirís::…adquirir…}} (llibres)|imperfet|subjuntiu|-ir|jo| imperfet subjuntiu -ir jo adquirir 
"↫ Va ser sorprenent que ↫tu {{c1::adquirieras | adquirieses::…adquirir…}} (llibres)"| adquirir ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_pasado tú_vos |adquirir|adquirir|2|S|S|I|0|libros|"↫ Fue sorprendente que ↫tú/vos {{c1::adquirieras | adquirieses::…adquirir…}} (libros)"|adquirissis|VMSI2S02|central|M|0|||↫ Va ser sorprenent que ↫tu | (llibres)|↫ Va ser sorprenent que ↫tu {{c1::adquirissis::…adquirir…}} (llibres)|imperfet|subjuntiu|-ir|tu| imperfet subjuntiu -ir tu adquirir 
"↫ Va ser sorprenent que ↫ell/ella/vostè {{c1::adquiriera | adquiriese::…adquirir…}} (llibres)"| adquirir ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_pasado él_ella_usted |adquirir|adquirir|3|S|S|I|0|libros|"↫ Fue sorprendente que ↫él/ella/usted {{c1::adquiriera | adquiriese::…adquirir…}} (libros)"|adquirís|VMSI3S01|central|M|0|||↫ Va ser sorprenent que ↫ell/ella/vostè | (llibres)|↫ Va ser sorprenent que ↫ell/ella/vostè {{c1::adquirís::…adquirir…}} (llibres)|imperfet|subjuntiu|-ir|ell/ella/vostè| imperfet subjuntiu -ir ell/ella/vostè adquirir 
"↫ Va ser sorprenent que ↫nosaltres {{c1::adquiriéramos | adquiriésemos::…adquirir…}} (llibres)"| adquirir ends_in_ir irregular_verb low_irregularity nosotros regular_form subjuntivo_pasado |adquirir|adquirir|1|P|S|I|0|libros|"↫ Fue sorprendente que ↫nosotros {{c1::adquiriéramos | adquiriésemos::…adquirir…}} (libros)"|adquiríssim|VMSI1P02|central|M|0|||↫ Va ser sorprenent que ↫nosaltres | (llibres)|↫ Va ser sorprenent que ↫nosaltres {{c1::adquiríssim::…adquirir…}} (llibres)|imperfet|subjuntiu|-ir|nosaltres| imperfet subjuntiu -ir nosaltres adquirir 
"↫ Va ser sorprenent que ↫vosaltres {{c1::adquirierais | adquirieseis::…adquirir…}} (llibres)"| adquirir ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_pasado vosotros |adquirir|adquirir|2|P|S|I|0|libros|"↫ Fue sorprendente que ↫vosotros {{c1::adquirierais | adquirieseis::…adquirir…}} (libros)"|adquiríssiu|VMSI2P02|central|M|0|||↫ Va ser sorprenent que ↫vosaltres | (llibres)|↫ Va ser sorprenent que ↫vosaltres {{c1::adquiríssiu::…adquirir…}} (llibres)|imperfet|subjuntiu|-ir|vosaltres| imperfet subjuntiu -ir vosaltres adquirir 
"↫ Va ser sorprenent que ↫ells/elles/vostès {{c1::adquirieran | adquiriesen::…adquirir…}} (llibres)"| adquirir ellos_ellas_ustedes ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_pasado |adquirir|adquirir|3|P|S|I|0|libros|"↫ Fue sorprendente que ↫ellos/ellas/ustedes {{c1::adquirieran | adquiriesen::…adquirir…}} (libros)"|adquirissin|VMSI3P02|central|M|0|||↫ Va ser sorprenent que ↫ells/elles/vostès | (llibres)|↫ Va ser sorprenent que ↫ells/elles/vostès {{c1::adquirissin::…adquirir…}} (llibres)|imperfet|subjuntiu|-ir|ells/elles/vostès| imperfet subjuntiu -ir ells/elles/vostès adquirir 
Hombre, si us plau,  {{c1::adquiere::…adquirir…}} (más llibres), ja !(tu)| adquirir ends_in_ir imperativo irregular_form irregular_verb low_irregularity tú tú_vos |adquirir|adquirir|2|S|M|0|pos|más libros|Hombre, por favor,¡ {{c1::adquiere::…adquirir…}} (más libros), ya !(tú)|adquireix|VMM02S00|central|M|0|||Hombre, si us plau,  | (más llibres), ja !(tu)|Hombre, si us plau,  {{c1::adquireix::…adquirir…}} (más llibres), ja !(tu)||imperatiu|-ir|tu| imperatiu -ir tu adquirir 
